formaWlasnosci_Symbol,pkdKod,wsk_liczba_dni_istnienia,Aktywa,Aktywa_trwale,Rzeczowe_aktywa_trwale,Zapasy,Naleznosci_dostaw_uslug_12m_pozostale,Inwestycje_krotkoterminowe,Rozliczenia_miedzyokresowe_krotkie,Kapital_zapasowy,Zysk_netto,Zobowiazania_dostaw_uslug_12m_pozostale,schemat_wsk_bilans,wsk_kapital_do_aktywa,zysk_sprzedazy,pozostale_przychody_oper,koszty_operacyjne_pozostale,koszty_finansowe,koszty_odsetki,podatek_dochodowy,schemat_wsk_rzis,wsk_marza_brutto_1,wsk_marza_brutto_2,wsk_stopa_marzy_brutto,wsk_ROA,wsk_ROE,wsk_mnoznik_kap_wl,wsk_zwrot_aktywa_trwale,wsk_ebitda_3,wsk_marza_ebitda_3,wsk_zysk_op_zobowiazania,wsk_sprzedaz_kap_obrotowy,wsk_koszty_przychody,wsk_rent_kapitalu,wsk_pokrycie_wyd_fin_gotowkowe_1,wsk_pokrycie_aktywow_tr_kapitalem_st,wsk_struktury_finansowania,wsk_zysk_operacyjny_zob_2,wsk_zadluzenia_gotowki_1,wsk_koszty_fin_przychody,wsk_koszty_odsetki_przychody,wsk_pokrycie_aktywow_kap_stalym,wsk_zadluzenie_kap_wlasnego,wsk_ogolnego_zadluzenia_pozyczki,wsk_zadluzenia_krotkie,wsk_pokrycia_zobowiazan_rz_aktywami_trwalymi,wsk_efekt_dzwigni_fin_1,wsk_pokrycia_odsetek_zyskiem,wsk_ebitda_zobowiazan_odsetki_3,wsk_rotacja_aktywow_1,wsk_rotacja_rz_aktywow_trwalych,wsk_rotacja_wartosci_niewaterialnych,wsk_rotacja_naleznosci,wsk_rotacja_naleznosci_dostaw_uslug,wsk_obrotowsci_naleznosci,wsk_rotacja_zobowiazan_dostaw_uslug,wsk_plynnosc_biez_1,wsk_poziom_kapitalu_obrotowego_netto,wsk_udzial_zob_biez_sprzedaz_2,wsk_udzial_zapasy_kap_obrotowy,wsk_zysk_ebitda_1,wsk_zysk_ebitda_2,wsk_obrotowosc_gotowkowa,wsk_struktura_majatku,wsk_struktury_kapitalu,wsk_zast_kapitalu_podstawowego,wsk_sytuacji_fin,wsk_struktura_kap_wlasnego_s_2,wsk_fin_majatku_kapitalem,default
215,4941,6866,55422.65,10027.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SFJMI,0.7382754162783627,146773.55,4.34,2.29,0.0,0.0,1278.0,SFJMI,0.0,0.0,1.912397579364795,0.0,0.0,1.3545080574956534,1467.756,146860.59999999998,1.913531804225362,1467.756,1.6906713808162748,0.9124274171009316,1.875702333347508,13.63,6.973704050900532,1.261724583721637,10.118638003456626,0.0,0.0,0.0,4.080537327722042,0.3545080574956534,0.0,0.0,0.0,0.0,0.0,1468.6059999999998,1.3847849209664278,767.4845,767.4845,211.34105561740984,0.0,1.7223345408993709,0.0,inf,45395.25,-0.5914810005934974,0.0,0.0,0.0,767.4845,0.2208909522472064,2.8208103563690115,0.498633743542693,12.770148924941696,0.7382754162783627,0.6804628237535866,1
216,1629,9305,133689.19,106992.2,106992.2,0.0,15312.56,4683.55,0.0,0.0,1314.21,0.0,SFJIN,0.9405719340509132,2192.4,0.0,0.0,648.19,0.0,230.0,SFJIN,0.0754141352972202,0.0754141352972202,0.1070696020784903,0.009830338563649,0.0104514478986323,1.0631829037181009,0.0204912133781714,2192.4,0.1070696020784903,0.2759509571561091,1.0919523680014505,0.9245858647027796,0.1691415260520028,2.382341597371141,1.2495227689495123,1.0,0.1379754785780545,0.0,0.0316554667812701,0.0,1.175266047431495,0.0631829037181009,0.0,0.0631829037181009,1069.922,1.0631829037181009,13.1421,21.924,0.1587248433479342,0.1913821755230755,204.764,391.323287296595,272.2046766033092,0.9301772008373068,19.34089976753726,3.3602718225173667,18752.1,-0.915790861674904,0.0,0.5994389709906951,0.5994389709906951,4.3719827908317415,4.007650300651871,15.8270662023011,0.233661893109965,3.9492133831454113,0.9747193998649982,0.7024050276828963,1
214,8559,1285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SFJMI,0.6581941526810996,0.0,0.0,0.0,0.0,0.0,0.0,SFJMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192715223329503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.7942093566184836,0.0,1
214,8010,3719,1693357.58,19839.43,19839.43,1262.38,1358301.61,51799.23,11155.46,38861.86,109914.1,174216.95,SFJIN,0.2693783258701921,43136.5,122807.25,4042.28,25037.03,25037.03,27038.0,SFJIN,0.0359602863680473,0.0371593905679891,0.0117042823822056,0.0649089721498751,0.2409584065094882,3.712251150012267,8.160590803264006,165056.17,0.0447849042598573,0.1462829888749589,6.502931772995886,0.9961858444412433,9.114602331715774,5.5959832296402565,91.92766022007687,1.0770273222505078,0.0690713974612417,3.69564667810556,0.0067933297585977,0.0067933297585977,22.9922850606091,2.712251150012267,1.1351109997256843,2.426306384405453,0.1521022763863631,3.138485839893053,5.390061440993601,0.3187734227181413,2.182649702333354,185.76800744779464,36855.3138,158.94196324004707,134.15210320092297,2.290144104047951,17.206465842111484,1.5120754426657883,566749.2,-0.1537767940535077,0.0022274049967781,0.6655658888376271,0.4197107063516193,767.9422282324457,0.0118549237126588,0.36869741948325,6.048560870952442,31.1007838109957,0.2701439544567707,0.2607168616605682,1
215,3511,1586,2859.66,0.0,0.0,0.0,0.0,2859.66,0.0,0.0,-119.76,0.0,SFJMA,0.0271570746172621,-120.0,0.0,0.0,0.0,0.0,0.0,SFJMA,-499.00000000000006,-1.1976,-1.2,-0.0418791045089276,-1.5421066185938708,36.82281740921968,-1.2,-120.0,-1.2,-0.0431344356578001,0.0,1.2,-0.0,-1.1976,28.5966,1.0,-0.0215672178289,-0.0,0.0,0.0,0.7766,35.822817409219674,0.0,35.822817409219674,0.0,36.82281740921968,-1.1976,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0279151689432062,77.65999999999985,-0.7765999999999985,0.0,1.0,1.0,0.0,0.0,0.0279151689432063,63.0,0.000279151689432,inf,0.0271570746172621,1
214,4110,7023,113699.64,0.0,0.0,0.0,96728.07,11479.26,5372.31,44462.07,10075.62,21751.51,SFJIN,0.3104269283526315,6311.41,3769.66,5.45,0.0,0.0,0.0,SFJIN,0.0155840366611739,0.0156754332349236,0.0098191561485277,0.0886161117132824,0.2854652854491361,3.221370018724804,100.7562,10075.62,0.0156754332349236,0.1285086604405554,18.21099813771925,0.9901893850755814,26.98859682308281,100.7562,1136.9964000000002,1.0000000000000002,0.0642543302202777,0.3747818992776622,0.0,0.0,352.9543,2.221370018724804,0.1069872218584672,2.221370018724804,0.0,3.221370018724804,100.7562,2.6682185076903524,6.288031897357454,6427.6501,6427.6501,54.84538973271118,54.77743332668342,6.636838607109052,12.317953710641463,1.4501726374132204,35295.42999999999,-0.0549118720697008,0.0,1.0,1.0,55.993592792566766,0.0,0.4501726374132205,500.0,0.0045017263741322,0.345287603117891,0.3104269283526315,1
214,4321,2186,173508.25,78864.54,47820.55,0.0,0.0,92373.31,0.0,0.0,-113342.47,3622.59,SFJIN,0.9359699610825424,-103344.18,229.0,0.0,0.29,0.0,10227.0,SFJIN,-1.0479379502421025,-1.0503824764221457,-1.0527122236092796,-0.6532396586329469,-0.6979280167040941,1.0684103567206371,-2.156294312800668,-55582.01,-0.5661843883203991,-9.281511538523851,1.175203932005147,2.052715177685115,1.401916024516888,-191663.10344827588,2.20007940197204,1.0,-4.640755769261927,-0.0784938730495139,2.954075835201277e-06,0.0,2.059208232242273,0.0684103567206373,0.0213229788869368,0.0684103567206373,478.2055,1.0684103567206371,-1133.4247,-12.739781382438624,1.2099528267353128,2.052871621091769,981.6945,8.418358257074885,0.0,43.23883456659619,13.432109072629013,8.518985142766619,83533.97,-0.8509161455014773,0.0,2.0391934368692315,2.0391934368692315,1.0627469125010245,0.8332781967232686,14.617669720443503,0.0760798199038503,17.542364336334636,2.001585383559783,0.8826151257172823,1
214,7820,1392,156617.12,6474.5,0.0,0.0,139133.43,8020.07,0.0,0.0,8041.18,26925.3,SFJIN,0.031924990064943,8051.21,0.16,0.53,24.14,24.14,4.0,SFJIN,0.0289506069793475,0.028952549003477,0.0289742494341063,0.0513429183220838,1.608236,31.323424,80.5084,8050.84,0.0289729178985619,0.0521896187463183,-22.89148250483157,0.9711145315980044,-92.0093474654561,333.2717481358741,24.597317167348823,1.0168449656078464,0.0260950631152646,1.867259651120298,8.687369741185839e-05,8.687369741185839e-05,0.7722604062089736,30.851666,3.0044880000000003,30.852266000000004,-0.0,31.22971753460267,334.10604805302404,0.5359209289569471,1.955176500843814,2778.7467,42.9183211058769,186.17245033525367,182.2568732875148,1.955176500843814,35.27061030787729,0.9213102856043052,-12138.780000000028,0.0436843703674035,-0.0,0.996512717304556,0.996512717304556,34.647412055007,0.045555754523121,0.0324131604432642,0.0,0.7115052924173052,-0.0103748490299393,-0.0103748490299393,1
214,4110,1771,20646348.29,613134.48,550261.76,7468687.5,451551.79,11792382.69,43690.92,3031506.61,2895719.49,2700188.11,SFJIN,0.2999187078036064,3579734.31,61317.87,320978.94,149038.85,134954.95,745760.0,SFJIN,0.4069923662834529,0.4327095222737575,0.4253724694594061,0.1402533488889429,0.4676378806645966,3.334236824782609,90.6584839177582,3349394.0300000003,0.3980016074806659,0.2296973276105949,1.508404857491837,0.6304787783451138,-1.5027309977416186,24.629821553239307,33.67344190135906,1.0,0.1148486638052974,0.1416576850647946,0.0177099801772411,0.0160364192914838,10.099295182355426,2.334236824782609,0.0839757886101736,2.334236824782609,5502.6176000000005,3.215084282582857,22.456934258432167,6.441178658948982,0.4203938913933618,15.293682955544648,14202.225803729643,31.50803543672697,19.53113743807593,11.55260856332882,116.79224012171116,1.3859861945722212,5579091.619999999,-0.6629519886741758,1.3386923909308377,0.7580736757361821,0.7580736757361821,13.410005325899458,0.0306058970774794,0.428405545394106,0.4322053458810537,13.997483697654364,0.3093002178587011,0.2784920918287748,1
215,3109,9434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132000.0,0.0,0.0,SFJIN,0.6581941526810996,0.0,0.0,0.0,0.0,0.0,0.0,SFJIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192715223329503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.7942093566184836,0.0,1
